project_id,project_type_id,title,description,start_date,end_date,synopsis,synopsis_plagiarism_similarity,created_by,package_type_of_user,production_dates,production_locations,crew_roles,casting_roles,review_status
3602,TV,Reverse-engineered holistic emulation,"Experience common billion theory minute others scientist current. Indicate structure toward party. Race rise street purpose wall enough big.
Discover hit wish.",2025-01-29,2025-06-20,Event traditional employee modern region service. Beautiful beat meet three. Purpose outside defense serve hand.,0.72,clarkmonique,basic,"{""rehearsal_date"": ""2025-01-21"", ""shooting_start"": ""2025-02-12"", ""duration"": ""4 months""}","[""Trincomalee"", ""Colombo""]","[{""role_name"": ""Producer"", ""compensation"": ""Negotiable""}, {""role_name"": ""Grip"", ""compensation"": ""10K LKR""}, {""role_name"": ""Grip Assistant"", ""compensation"": ""11K LKR""}, {""role_name"": ""Music Editor"", ""compensation"": ""31K LKR""}]","[{""role_name"": ""Photo Double"", ""gender"": ""Male"", ""age_range"": ""6-12"", ""compensation"": ""Negotiable"", ""description"": ""Tell size little behavior letter lead receive system success team so wrong.""}, {""role_name"": ""Mime Artist"", ""gender"": ""Non-binary"", ""age_range"": ""6-12"", ""compensation"": ""Negotiable"", ""description"": ""Last anything today receive across focus pay shake over chance.""}, {""role_name"": ""Photo Double"", ""gender"": ""Female"", ""age_range"": ""36-50"", ""compensation"": ""16K LKR"", ""description"": ""Rise power skill bar another debate alone bit weight cost behavior.""}, {""role_name"": ""Musician"", ""gender"": ""Female"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Hand speak black phone pull itself most city section most.""}]",Needs Review
3603,Theater,User-centric 4thgeneration migration,Back night clear author study maybe order once. Range similar less move bank police three. Region which brother drug man approach stage.,2024-10-29,2024-12-27,Along knowledge couple so campaign matter peace life. Few actually management above poor. Adult among finally wish buy mother where spend.,0.82,bennettallison,basic,"{""rehearsal_date"": ""2024-10-08"", ""shooting_start"": ""2024-11-01"", ""duration"": ""1 months""}","[""Galle"", ""Colombo"", ""Kandy""]","[{""role_name"": ""Art Director"", ""compensation"": ""28K LKR""}, {""role_name"": ""Costume Designer"", ""compensation"": ""17K LKR""}, {""role_name"": ""Production Accountant"", ""compensation"": ""21K LKR""}, {""role_name"": ""Grip Assistant"", ""compensation"": ""Negotiable""}, {""role_name"": ""Set Designer"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Singer"", ""gender"": ""Non-binary"", ""age_range"": ""26-35"", ""compensation"": ""39K LKR"", ""description"": ""Charge table dog participant ground growth until.""}, {""role_name"": ""Circus Performer"", ""gender"": ""Non-binary"", ""age_range"": ""18-25"", ""compensation"": ""Negotiable"", ""description"": ""Happy study cup realize break improve structure better attack understand appear character.""}, {""role_name"": ""Child Actor"", ""gender"": ""Male"", ""age_range"": ""50+"", ""compensation"": ""31K LKR"", ""description"": ""Compare field sister never decade respond travel detail organization which open coach.""}, {""role_name"": ""Theater Actor"", ""gender"": ""Non-binary"", ""age_range"": ""13-17"", ""compensation"": ""40K LKR"", ""description"": ""Another return Republican manager or possible economic chair but western sometimes amount nature page.""}]",Rejected
3604,Documentary,Persevering high-level neural-net,Should trip good past serious matter the. Career fact forget employee through hospital manage. Writer state police knowledge possible executive poor.,2024-11-28,2025-04-17,Knowledge together simply well yourself her year. Outside late have black task security clear glass.,0.47,vhensley,premium,"{""rehearsal_date"": ""2024-11-13"", ""shooting_start"": ""2024-12-10"", ""duration"": ""4 months""}","[""Galle"", ""Kandy""]","[{""role_name"": ""Special Effects Supervisor"", ""compensation"": ""Negotiable""}, {""role_name"": ""Special Effects Assistant"", ""compensation"": ""Negotiable""}, {""role_name"": ""Publicist"", ""compensation"": ""49K LKR""}]","[{""role_name"": ""Celebrity Guest"", ""gender"": ""Non-binary"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""End before cut order environmental Republican situation save cut government.""}, {""role_name"": ""Voiceover Artist"", ""gender"": ""Male"", ""age_range"": ""50+"", ""compensation"": ""Negotiable"", ""description"": ""Shoulder difference artist forget speak certain defense nearly forget citizen back occur.""}, {""role_name"": ""Commercial Model"", ""gender"": ""Male"", ""age_range"": ""26-35"", ""compensation"": ""Negotiable"", ""description"": ""Subject read middle individual education rate notice find over.""}]",Approved
3605,Theater,Up-sized needs-based challenge,Beautiful throughout although. Such analysis along radio already fly. Can play effort play second. Bad visit allow stand off what.,2024-09-08,2025-02-09,"Care beautiful subject anything. Yes situation exactly. But explain herself important.
Could simple inside their. Event to thank hour such language.",0.07,sheila21,free,"{""rehearsal_date"": ""2024-08-23"", ""shooting_start"": ""2024-09-19"", ""duration"": ""5 months""}","[""Galle"", ""Trincomalee""]","[{""role_name"": ""Stunt Coordinator"", ""compensation"": ""Negotiable""}, {""role_name"": ""Assistant Camera"", ""compensation"": ""28K LKR""}, {""role_name"": ""Transportation Coordinator"", ""compensation"": ""31K LKR""}, {""role_name"": ""Driver"", ""compensation"": ""Negotiable""}, {""role_name"": ""Publicist"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Silent Bit Actor"", ""gender"": ""Non-binary"", ""age_range"": ""13-17"", ""compensation"": ""32K LKR"", ""description"": ""Performance policy cultural bed customer business window care land.""}, {""role_name"": ""Silent Bit Actor"", ""gender"": ""Male"", ""age_range"": ""13-17"", ""compensation"": ""33K LKR"", ""description"": ""On game break race take throw serve.""}, {""role_name"": ""Guest Star"", ""gender"": ""Non-binary"", ""age_range"": ""13-17"", ""compensation"": ""17K LKR"", ""description"": ""Military blue indeed full the Republican think.""}, {""role_name"": ""Commercial Model"", ""gender"": ""Male"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Take every song answer letter evening bill pull.""}, {""role_name"": ""Mime Artist"", ""gender"": ""Non-binary"", ""age_range"": ""13-17"", ""compensation"": ""29K LKR"", ""description"": ""Either so method society score third.""}]",Approved
3606,TV,Distributed uniform interface,"Best medical her listen.
Whatever debate all available. Likely I attention TV instead toward. Fight painting to book and this every. Herself check style necessary.",2024-06-06,2024-10-18,"Certain address into face course. Second lose begin.
Material since attack against behind. Institution recognize I individual able message happen.",0.98,gilbertjohn,premium,"{""rehearsal_date"": ""2024-05-24"", ""shooting_start"": ""2024-06-20"", ""duration"": ""4 months""}","[""Jaffna"", ""Colombo"", ""Kandy""]","[{""role_name"": ""Music Supervisor"", ""compensation"": ""Negotiable""}, {""role_name"": ""Production Sound Mixer"", ""compensation"": ""Negotiable""}, {""role_name"": ""Music Editor"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Stunt Performer"", ""gender"": ""Non-binary"", ""age_range"": ""50+"", ""compensation"": ""Negotiable"", ""description"": ""Various moment away question computer so near far discover.""}, {""role_name"": ""Cameo Appearance"", ""gender"": ""Non-binary"", ""age_range"": ""6-12"", ""compensation"": ""Negotiable"", ""description"": ""Great than send other care personal culture peace could baby southern.""}, {""role_name"": ""Elderly Actor"", ""gender"": ""Female"", ""age_range"": ""26-35"", ""compensation"": ""Negotiable"", ""description"": ""Point notice feeling until least line magazine or single since.""}, {""role_name"": ""Mime Artist"", ""gender"": ""Male"", ""age_range"": ""50+"", ""compensation"": ""Negotiable"", ""description"": ""Candidate admit better actually with partner edge similar have through sing consumer live.""}]",Rejected
3607,Theater,Team-oriented asymmetric concept,Almost per evidence hit base sea explain good. Rest hospital similar family mouth help tonight. Subject one lay finish wear together.,2025-04-27,2025-07-20,Statement southern strategy eye apply public. Dinner data American soldier season. You family people energy.,0.92,paula52,free,"{""rehearsal_date"": ""2025-04-09"", ""shooting_start"": ""2025-05-03"", ""duration"": ""2 months""}","[""Nuwara Eliya"", ""Jaffna"", ""Kandy""]","[{""role_name"": ""Storyboard Artist"", ""compensation"": ""34K LKR""}, {""role_name"": ""Social Media Manager"", ""compensation"": ""29K LKR""}, {""role_name"": ""Makeup Assistant"", ""compensation"": ""Negotiable""}, {""role_name"": ""Sound Mixer"", ""compensation"": ""50K LKR""}, {""role_name"": ""Music Editor"", ""compensation"": ""10K LKR""}]","[{""role_name"": ""Musician"", ""gender"": ""Non-binary"", ""age_range"": ""50+"", ""compensation"": ""Negotiable"", ""description"": ""Place example despite his hard though.""}, {""role_name"": ""Theater Actor"", ""gender"": ""Non-binary"", ""age_range"": ""36-50"", ""compensation"": ""32K LKR"", ""description"": ""Number south get century specific adult piece ready imagine result six could pay.""}, {""role_name"": ""Protagonist"", ""gender"": ""Non-binary"", ""age_range"": ""6-12"", ""compensation"": ""Negotiable"", ""description"": ""Past professional continue pretty best begin.""}]",Rejected
3608,Film,Compatible systemic secured line,Our in bank happy majority usually else. Rise president for stage key pattern billion century. Everybody lot win rather piece. Everyone society glass about different.,2024-08-15,2024-12-29,Near these show represent difference. Set position worker before number new sure.,0.37,kpatton,free,"{""rehearsal_date"": ""2024-07-25"", ""shooting_start"": ""2024-08-20"", ""duration"": ""4 months""}","[""Colombo"", ""Galle""]","[{""role_name"": ""Assistant Editor"", ""compensation"": ""Negotiable""}, {""role_name"": ""Visual Effects Supervisor"", ""compensation"": ""Negotiable""}, {""role_name"": ""Music Supervisor"", ""compensation"": ""22K LKR""}]","[{""role_name"": ""Background Actor"", ""gender"": ""Female"", ""age_range"": ""50+"", ""compensation"": ""31K LKR"", ""description"": ""Away particular nothing space from structure front attorney floor house.""}, {""role_name"": ""Stunt Performer"", ""gender"": ""Non-binary"", ""age_range"": ""6-12"", ""compensation"": ""16K LKR"", ""description"": ""Along different half decade real turn agency dog common policy.""}, {""role_name"": ""Circus Performer"", ""gender"": ""Non-binary"", ""age_range"": ""36-50"", ""compensation"": ""29K LKR"", ""description"": ""Hour increase prepare year toward teacher.""}]",Approved
3609,Documentary,Open-architected bandwidth-monitored support,Behavior research sport few. Indicate appear have occur. Open his method discover avoid.,2025-07-25,2025-11-14,Account benefit society. Tax itself will toward painting. How continue finish consider beat first else. Course agree citizen able between wait.,0.93,greenjohnathan,premium,"{""rehearsal_date"": ""2025-07-18"", ""shooting_start"": ""2025-08-08"", ""duration"": ""3 months""}","[""Galle""]","[{""role_name"": ""Visual Effects Assistant"", ""compensation"": ""Negotiable""}, {""role_name"": ""Camera Operator"", ""compensation"": ""27K LKR""}, {""role_name"": ""Director"", ""compensation"": ""Negotiable""}, {""role_name"": ""Dialogue Editor"", ""compensation"": ""Negotiable""}, {""role_name"": ""Production Designer Assistant"", ""compensation"": ""10K LKR""}]","[{""role_name"": ""Dubbing Artist"", ""gender"": ""Non-binary"", ""age_range"": ""18-25"", ""compensation"": ""Negotiable"", ""description"": ""Purpose end trial might last share free hard teach identify but mention.""}, {""role_name"": ""Special Skills Performer"", ""gender"": ""Non-binary"", ""age_range"": ""13-17"", ""compensation"": ""24K LKR"", ""description"": ""Any range course throughout marriage big manager material order nearly before company.""}, {""role_name"": ""Commercial Model"", ""gender"": ""Female"", ""age_range"": ""50+"", ""compensation"": ""38K LKR"", ""description"": ""Company wish national above case bad deep picture job Mrs the.""}, {""role_name"": ""Guest Star"", ""gender"": ""Female"", ""age_range"": ""18-25"", ""compensation"": ""Negotiable"", ""description"": ""Detail single though company process capital ground between half growth ready break.""}, {""role_name"": ""Child Actor"", ""gender"": ""Female"", ""age_range"": ""50+"", ""compensation"": ""Negotiable"", ""description"": ""Available property claim traditional task month culture.""}, {""role_name"": ""Voice Actor"", ""gender"": ""Non-binary"", ""age_range"": ""6-12"", ""compensation"": ""16K LKR"", ""description"": ""Matter common forward window possible far we fire bill dream.""}]",Rejected
3610,Theater,Centralized static functionalities,"Set important part build behind surface.
Specific person lot. Leader treat leave four.
Bar subject sound prepare. Free answer remember civil benefit control.",2024-07-18,2024-09-07,"Day go child. Board page great.
Maybe send push father education. Impact remember national list bank city pay building.",0.96,hernandeztroy,basic,"{""rehearsal_date"": ""2024-07-04"", ""shooting_start"": ""2024-07-30"", ""duration"": ""1 months""}","[""Colombo"", ""Galle""]","[{""role_name"": ""Storyboard Artist"", ""compensation"": ""Negotiable""}, {""role_name"": ""Sound Re-recording Mixer"", ""compensation"": ""13K LKR""}, {""role_name"": ""Director"", ""compensation"": ""13K LKR""}]","[{""role_name"": ""Musician"", ""gender"": ""Female"", ""age_range"": ""36-50"", ""compensation"": ""24K LKR"", ""description"": ""Hundred apply indicate claim note when nice clear agent movement material support.""}, {""role_name"": ""Commercial Model"", ""gender"": ""Male"", ""age_range"": ""18-25"", ""compensation"": ""Negotiable"", ""description"": ""Film focus cell nearly join production after hot team avoid thing across.""}, {""role_name"": ""Protagonist"", ""gender"": ""Male"", ""age_range"": ""18-25"", ""compensation"": ""29K LKR"", ""description"": ""Develop common listen off stand almost use mouth nearly its.""}, {""role_name"": ""Stand-in"", ""gender"": ""Female"", ""age_range"": ""36-50"", ""compensation"": ""15K LKR"", ""description"": ""Why send water center investment process.""}, {""role_name"": ""Commercial Model"", ""gender"": ""Non-binary"", ""age_range"": ""26-35"", ""compensation"": ""Negotiable"", ""description"": ""Sign another security actually get spend college site size take team term my.""}]",Rejected
3611,Short Film,Persevering systematic monitoring,Week style can team soon. Market approach name according study. Turn floor as they.,2024-12-25,2025-01-26,I born fire word born. Southern maintain source activity toward. Relate hot accept while sit record agent nation.,0.87,allensteven,basic,"{""rehearsal_date"": ""2024-12-04"", ""shooting_start"": ""2024-12-31"", ""duration"": ""1 months""}","[""Colombo""]","[{""role_name"": ""Set Decoration Assistant"", ""compensation"": ""29K LKR""}, {""role_name"": ""Legal Advisor"", ""compensation"": ""Negotiable""}, {""role_name"": ""Music Supervisor"", ""compensation"": ""Negotiable""}, {""role_name"": ""Director of Photography"", ""compensation"": ""24K LKR""}, {""role_name"": ""Hair Assistant"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Circus Performer"", ""gender"": ""Male"", ""age_range"": ""13-17"", ""compensation"": ""31K LKR"", ""description"": ""Safe central different decide people coach today.""}, {""role_name"": ""Musical Performer"", ""gender"": ""Female"", ""age_range"": ""50+"", ""compensation"": ""35K LKR"", ""description"": ""Economic above wall together idea degree him.""}, {""role_name"": ""Precision Driver"", ""gender"": ""Male"", ""age_range"": ""13-17"", ""compensation"": ""16K LKR"", ""description"": ""Claim government listen commercial technology for yeah relationship free money.""}]",Rejected
3612,Documentary,Front-line 24hour archive,"Win they face Congress method physical grow. Happy side region.
Never kind natural full drug develop onto local. Everyone improve present product national individual camera receive.",2024-05-16,2024-11-05,"Who organization night adult trial require.
Kind room full center wife. Put they possible since.",0.79,mgallegos,basic,"{""rehearsal_date"": ""2024-05-07"", ""shooting_start"": ""2024-05-18"", ""duration"": ""5 months""}","[""Galle"", ""Trincomalee"", ""Jaffna""]","[{""role_name"": ""Unit Production Manager"", ""compensation"": ""Negotiable""}, {""role_name"": ""Music Supervisor"", ""compensation"": ""Negotiable""}, {""role_name"": ""Makeup Artist"", ""compensation"": ""24K LKR""}, {""role_name"": ""Sound Designer"", ""compensation"": ""Negotiable""}, {""role_name"": ""Music Supervisor"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Stunt Performer"", ""gender"": ""Male"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Increase land kitchen ok property least us wide free once speak early marriage.""}, {""role_name"": ""Dancer"", ""gender"": ""Non-binary"", ""age_range"": ""6-12"", ""compensation"": ""Negotiable"", ""description"": ""Myself wife career quality power recognize court money pressure.""}, {""role_name"": ""Radio Actor"", ""gender"": ""Male"", ""age_range"": ""18-25"", ""compensation"": ""40K LKR"", ""description"": ""Government speech break off dinner offer per key population certainly finally across.""}]",Needs Review
3613,Theater,Multi-channeled discrete productivity,Forget he explain spring. Yet whom act bit letter center. Sit public product father.,2026-02-04,2026-06-23,Eight religious culture necessary lot family this. And speak perform ok respond improve safe. Small assume happy seat.,0.66,rosborne,free,"{""rehearsal_date"": ""2026-01-20"", ""shooting_start"": ""2026-02-07"", ""duration"": ""4 months""}","[""Trincomalee"", ""Kandy"", ""Nuwara Eliya""]","[{""role_name"": ""Driver"", ""compensation"": ""11K LKR""}, {""role_name"": ""Legal Advisor"", ""compensation"": ""Negotiable""}, {""role_name"": ""Director of Photography"", ""compensation"": ""Negotiable""}, {""role_name"": ""Colorist"", ""compensation"": ""27K LKR""}, {""role_name"": ""Camera Operator"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Lead Actress"", ""gender"": ""Female"", ""age_range"": ""26-35"", ""compensation"": ""33K LKR"", ""description"": ""Indeed idea every without opportunity actually its past wind consider agree.""}, {""role_name"": ""Stand-in"", ""gender"": ""Male"", ""age_range"": ""50+"", ""compensation"": ""22K LKR"", ""description"": ""Week dog run her per include watch hold long.""}, {""role_name"": ""Theater Actor"", ""gender"": ""Non-binary"", ""age_range"": ""50+"", ""compensation"": ""Negotiable"", ""description"": ""Air one board through prevent that no.""}, {""role_name"": ""Puppeteer"", ""gender"": ""Female"", ""age_range"": ""13-17"", ""compensation"": ""Negotiable"", ""description"": ""Others town perform man this make she end.""}, {""role_name"": ""Stand-in"", ""gender"": ""Female"", ""age_range"": ""26-35"", ""compensation"": ""26K LKR"", ""description"": ""Pick itself those government not full different whatever contain.""}, {""role_name"": ""Theater Actor"", ""gender"": ""Male"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Upon simply parent recent increase compare per.""}]",Needs Review
3614,TV,Pre-emptive needs-based superstructure,"Develop nice organization herself pick. Trouble store prove million.
Idea opportunity cultural window. Culture decide population approach attention most. Reveal three support staff spring.",2024-12-29,2025-04-23,"How music several who finally over. Rule easy without.
Thought yeah believe high me. Far place admit get short.",0.41,zreyes,free,"{""rehearsal_date"": ""2024-12-17"", ""shooting_start"": ""2025-01-03"", ""duration"": ""3 months""}","[""Jaffna"", ""Nuwara Eliya"", ""Galle""]","[{""role_name"": ""Foley Artist"", ""compensation"": ""31K LKR""}, {""role_name"": ""Transportation Coordinator"", ""compensation"": ""Negotiable""}, {""role_name"": ""Stunt Coordinator"", ""compensation"": ""Negotiable""}, {""role_name"": ""Production Coordinator"", ""compensation"": ""21K LKR""}]","[{""role_name"": ""Teen Actor"", ""gender"": ""Female"", ""age_range"": ""36-50"", ""compensation"": ""26K LKR"", ""description"": ""Type seat society catch single sign all successful despite determine certain protect.""}, {""role_name"": ""Child Actor"", ""gender"": ""Male"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Purpose part only big interesting west yet today.""}, {""role_name"": ""Musical Performer"", ""gender"": ""Non-binary"", ""age_range"": ""13-17"", ""compensation"": ""38K LKR"", ""description"": ""Say account particularly deep various new future care tonight spend head time.""}, {""role_name"": ""Musician"", ""gender"": ""Female"", ""age_range"": ""26-35"", ""compensation"": ""Negotiable"", ""description"": ""In page usually process such company foreign easy street.""}, {""role_name"": ""Musical Performer"", ""gender"": ""Non-binary"", ""age_range"": ""36-50"", ""compensation"": ""23K LKR"", ""description"": ""Player difference medical lay difference history federal doctor.""}]",Approved
3615,Short Film,Seamless transitional leverage,Yourself recognize really hit listen wrong share. Enough building anyone future turn nature. To class imagine couple each smile international pattern.,2024-11-16,2025-01-10,Pressure I result mention article. Off large cut but between control movement career. Involve late poor consumer who.,0.5,tparks,basic,"{""rehearsal_date"": ""2024-11-01"", ""shooting_start"": ""2024-11-17"", ""duration"": ""1 months""}","[""Galle"", ""Trincomalee"", ""Nuwara Eliya""]","[{""role_name"": ""Visual Effects Assistant"", ""compensation"": ""Negotiable""}, {""role_name"": ""Makeup Assistant"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Singer"", ""gender"": ""Non-binary"", ""age_range"": ""6-12"", ""compensation"": ""Negotiable"", ""description"": ""Every pretty no during carry American successful stage west environment both.""}, {""role_name"": ""Background Actor"", ""gender"": ""Male"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Leg service special center yeah use raise live.""}, {""role_name"": ""Stand-in"", ""gender"": ""Male"", ""age_range"": ""26-35"", ""compensation"": ""Negotiable"", ""description"": ""Wish door institution increase either understand wind computer occur fight little.""}, {""role_name"": ""Fight Coordinator"", ""gender"": ""Female"", ""age_range"": ""36-50"", ""compensation"": ""35K LKR"", ""description"": ""Rule back mind particular store since difference baby new entire.""}, {""role_name"": ""Mime Artist"", ""gender"": ""Male"", ""age_range"": ""13-17"", ""compensation"": ""40K LKR"", ""description"": ""Name month more stay teach health customer book order memory source production.""}]",Approved
3616,TV,Networked mobile hardware,"Term similar important. Might fight recognize serve military never. Owner least give big test develop pull.
We often new next she fast. Position another wind here.",2024-07-11,2024-12-08,"Else fine wife inside official think. Key southern state building school war ask. Single according recognize around hot.
Sometimes lawyer dark life.",0.77,ecooke,free,"{""rehearsal_date"": ""2024-06-20"", ""shooting_start"": ""2024-07-21"", ""duration"": ""5 months""}","[""Jaffna""]","[{""role_name"": ""Production Designer"", ""compensation"": ""Negotiable""}, {""role_name"": ""Dialogue Editor"", ""compensation"": ""44K LKR""}]","[{""role_name"": ""Radio Actor"", ""gender"": ""Non-binary"", ""age_range"": ""50+"", ""compensation"": ""29K LKR"", ""description"": ""Administration stock oil speech understand produce.""}, {""role_name"": ""Special Skills Performer"", ""gender"": ""Female"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Continue product which pay government big.""}, {""role_name"": ""Magician"", ""gender"": ""Male"", ""age_range"": ""6-12"", ""compensation"": ""30K LKR"", ""description"": ""Employee author me successful however effort join.""}, {""role_name"": ""Guest Star"", ""gender"": ""Female"", ""age_range"": ""26-35"", ""compensation"": ""26K LKR"", ""description"": ""Event memory provide find official difficult store particularly likely security green read.""}, {""role_name"": ""Cameo Appearance"", ""gender"": ""Male"", ""age_range"": ""36-50"", ""compensation"": ""33K LKR"", ""description"": ""Down raise indeed shake apply child chair speech future office able there control.""}, {""role_name"": ""Voiceover Artist"", ""gender"": ""Non-binary"", ""age_range"": ""50+"", ""compensation"": ""23K LKR"", ""description"": ""Third evidence son may black product glass have shoulder.""}]",Needs Review
3617,Film,Reverse-engineered fault-tolerant artificial intelligence,Improve down form institution them. Will race program half subject us. Seem kid very crime plant case support.,2025-02-11,2025-06-14,Figure compare type ready federal impact management. Population majority general evening future.,0.38,ohernandez,premium,"{""rehearsal_date"": ""2025-01-28"", ""shooting_start"": ""2025-02-23"", ""duration"": ""4 months""}","[""Colombo"", ""Galle""]","[{""role_name"": ""Unit Still Photographer"", ""compensation"": ""Negotiable""}, {""role_name"": ""Unit Still Photographer"", ""compensation"": ""Negotiable""}, {""role_name"": ""Unit Production Manager"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Child Actor"", ""gender"": ""Female"", ""age_range"": ""18-25"", ""compensation"": ""40K LKR"", ""description"": ""Air little appear know population power cell country.""}, {""role_name"": ""Stand-in"", ""gender"": ""Non-binary"", ""age_range"": ""13-17"", ""compensation"": ""Negotiable"", ""description"": ""Avoid event third usually believe billion approach accept character finish military relate should.""}, {""role_name"": ""Musical Performer"", ""gender"": ""Male"", ""age_range"": ""18-25"", ""compensation"": ""Negotiable"", ""description"": ""Only market event certainly radio practice save test.""}, {""role_name"": ""Photo Double"", ""gender"": ""Non-binary"", ""age_range"": ""6-12"", ""compensation"": ""34K LKR"", ""description"": ""Hundred travel have mention consumer arrive beat safe true increase reflect book save.""}, {""role_name"": ""Lead Actress"", ""gender"": ""Non-binary"", ""age_range"": ""26-35"", ""compensation"": ""Negotiable"", ""description"": ""Mr event nor almost maybe school throw quality word industry successful.""}, {""role_name"": ""Musician"", ""gender"": ""Non-binary"", ""age_range"": ""18-25"", ""compensation"": ""Negotiable"", ""description"": ""Lay work three impact month community on agent paper easy past.""}]",Approved
3618,Film,Cross-group impactful secured line,Type big capital lose. Low medical either amount image show professional letter. Base soldier through red significant attack worry next.,2025-06-27,2025-10-17,Hotel prevent daughter surface to organization around Republican. Can air though father look music change.,0.83,hendersonrobert,premium,"{""rehearsal_date"": ""2025-06-13"", ""shooting_start"": ""2025-07-07"", ""duration"": ""3 months""}","[""Trincomalee""]","[{""role_name"": ""Visual Effects Assistant"", ""compensation"": ""24K LKR""}, {""role_name"": ""Unit Still Photographer"", ""compensation"": ""36K LKR""}, {""role_name"": ""Special Effects Assistant"", ""compensation"": ""Negotiable""}, {""role_name"": ""Assistant Camera"", ""compensation"": ""36K LKR""}, {""role_name"": ""Production Assistant"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Precision Driver"", ""gender"": ""Non-binary"", ""age_range"": ""18-25"", ""compensation"": ""Negotiable"", ""description"": ""Entire animal suffer physical activity never similar indeed let last peace morning.""}, {""role_name"": ""Musical Performer"", ""gender"": ""Non-binary"", ""age_range"": ""6-12"", ""compensation"": ""21K LKR"", ""description"": ""Citizen born court whatever eye scene election themselves baby.""}, {""role_name"": ""Cameo Appearance"", ""gender"": ""Male"", ""age_range"": ""26-35"", ""compensation"": ""21K LKR"", ""description"": ""There campaign trouble win collection market these whole under degree.""}, {""role_name"": ""Fight Coordinator"", ""gender"": ""Male"", ""age_range"": ""13-17"", ""compensation"": ""Negotiable"", ""description"": ""Popular leave season many cup position him see town another guy.""}, {""role_name"": ""Featured Extra"", ""gender"": ""Male"", ""age_range"": ""18-25"", ""compensation"": ""Negotiable"", ""description"": ""Remain man whose activity stage building public.""}, {""role_name"": ""Puppeteer"", ""gender"": ""Male"", ""age_range"": ""26-35"", ""compensation"": ""27K LKR"", ""description"": ""You about model run until majority.""}]",Rejected
3619,Documentary,Configurable static emulation,"Staff member thing subject piece. Quite star federal.
Mouth director maybe miss concern music who. View produce drive science know task.
Site six west Democrat safe stuff if.",2025-12-16,2026-05-10,Sort information project answer. Television middle throughout reason imagine.,0.1,richardmiller,free,"{""rehearsal_date"": ""2025-12-08"", ""shooting_start"": ""2025-12-26"", ""duration"": ""4 months""}","[""Kandy"", ""Nuwara Eliya""]","[{""role_name"": ""Camera Assistant"", ""compensation"": ""10K LKR""}, {""role_name"": ""Special Effects Assistant"", ""compensation"": ""18K LKR""}, {""role_name"": ""Assistant Editor"", ""compensation"": ""Negotiable""}]","[{""role_name"": ""Dubbing Artist"", ""gender"": ""Female"", ""age_range"": ""36-50"", ""compensation"": ""Negotiable"", ""description"": ""Test couple must international outside everybody record teach single skill.""}, {""role_name"": ""Protagonist"", ""gender"": ""Non-binary"", ""age_range"": ""18-25"", ""compensation"": ""38K LKR"", ""description"": ""Color order cut keep leave daughter street information we relate economic several cell.""}, {""role_name"": ""Precision Driver"", ""gender"": ""Non-binary"", ""age_range"": ""26-35"", ""compensation"": ""25K LKR"", ""description"": ""Glass on section single rise science happy late strategy indicate upon box.""}]",Approved
